ID,domain,keyword,keyword-model,cause,long_term_interval,long_term_effect,defeater_time_interval,defeater,supporter
4870,entertainment,streaming platforms,gpt3,Facebook updated their app to enable high streaming,"Months later,",Lots of people started streaming videos,"Days later,",The app is poorly made and quite buggy with a lot of issues needing fixing.,The app by Facebook is quite well made with many people tuning in to see the initial few streamers.
9455,Work,honesty,chatgpt,Honesty is emphasized in the work environment.,"Months later,",Employees get along better.,"Weeks later,",Employees are brutally honest and hurt each other's feelings until conflict breaks out.,Employees make an effort to be honest with one another.
1175,travel,none,none,Emily loves her trip to Disney World when she's 10.,"Years later,",Emily moves to Florida and gets a job at Disney.,"Months later,",Emily outgrows her infatuation with Disney and becomes interested in something else.,Emily talks to her guidance counselor about going to college in Florida.
12440,Work,job interviews,gpt3,Karen went on 12 job interviews in the month of November.,"Months later,",She started a new job at one of the companies she had interviewed at.,"Weeks later,","Karen found out she was pregnant, and decided to postpone her job search.",Job interviews are a prerequisite for finding employment.
5315,health,exercise,chatgpt,"Betty wanted to look great for her high school reunion, so she started to exercise in a gym daily.","Months later,",Everyone at the reunion told Betty how amazing she looked.,"Days later,",Betty quit the gym because it was making her tired,Exercising can make you feel and look better
1215,scitech,none,none,The scientist did extensive research on finding a cure for he disease,"Decades later,",The scientist found a cure for the disease.,"Years later,",A different scientist who was also researching the disease finds a completely effective cure.,Doing extensive research makes progress towards finding a cure.
6072,environment,permaculture,gpt3,The manufacturing industry lobbies to curb Colorado's environmental protection policies,"Years later,",A large forest area has been tainted by factories and pollution,"Weeks later,",companies was unaffected by the law,the policies exposed company environmental protection habit
2544,politics,liberal-democrat,gpt3,The liberal party gains all three branches of the government in the US.,"Months later,",Many bills and acts are passed.,"Weeks later,",The liberal party falls apart after a scandal involving their leadership.,The liberal party has many productive sessions while in control.
5700,education,media,chatgpt,Jeff's teacher realized he was struggling with math so he gave him some videos from Youtube to help him.,"Months later,",Jeff's teacher noticed an improvement with his match grades by using different media to reach him.,"Weeks later,",Jeff is struggling as he slacked off and didn't watch the videos.,Jeff needed help with math and needed to approach learning it from a different perspective.
6561,politics,reform-movement,gpt3,Michael is an advocate of the reform movement.,"Months later,",Michael gains a lot of new followers.,"Weeks later,",Michael doesn't bother to tell anyone what he thinks.,Michael spreads his views far and wide.
7528,politics,liberalism,chatgpt,Bob is always generous with his peers..,"Years later,",Bob decides to go into liberalism.,"Weeks later,",Bob's peers begin to feel beholden to Bob for his generosity and express their frustration with him.,Bob's peers appreciate his generosity.
8628,Education,assignment,gpt3,Parents complain that the school district is not teaching enough math.,"Months later,",The school board changes the math curriculum to include more take home assignments and homework to strengthen it and make the math curriculum more visible to parents.,"Weeks later,",The school district investigation comes to a halt when a school shooting demands the board’s attention.,The school district investigates the parent complaints.
198,sports,none,none,A famous sports star dies in an accident.,"Years later,",A movie is made about their life.,"Hours later,",No one has heard of the news and the world continues as usual.,The news has spread and many people are mourning the loss.
6210,scitech,Biotechnology,gpt3,Scitech is a highly demanded course,"Years later,",Lots of students graduated from biochemistry,"Hours later,",Most people lose interest in Scitech.,People continue to want to study Scitech.
1554,business,none,none,Ross started culinary school.,"Years later,",Ross was working at his own restaurant in the city.,"Months later,",Ross ended up failing out of school.,Ross was good at school.
538,politics,none,none,The political candidate changes some of his ideologies mid-election season.,"Months later,",The candidate does not win the election.,"Weeks later,",The candidate withstands the flip flop and his numbers go up higher,The candidate begins to lose his message.
6948,travel,camping,gpt3,Olivia fails to put out a fire while camping.,"Months later,",A raging wildfire continues to burn down many forests.,"Minutes later,",A rain shower breaks out that dampens the forest.,Fires can easily spread.
5326,health,tendon,chatgpt,Kyle was diagnosed with wrist tendonitis after he developed carpal tunnel.,"Months later,",Kyle is able to type without pain because he is wearing a wrist brace.,"Weeks later,",Kyle neglected all the medications and becomes worse,Kyle took all medications very seriously
6082,environment,hazardous materials,gpt3,An industrial company dumps hazardous material into a river,"Decades later,",The nearby land is still uninhabitable.,"Months later,",The company stops polluting.,The company continues to pollute.
1011,health,none,none,Alice started drinking a lot of alcohol.,"Decades later,",Alice died of liver cancer.,"Days later,",She decides that she doesn't like how the drinks make her feel.,The alcohol starts to effect her body.
3522,politics,freedom of speech,chatgpt,David got arrested for voicing his grievances to police officers.,"Months later,",ACLU sues the police department for infringing David's right to freedom of speech,"Seconds later,",David violated the rights of the police officers.,David believes his rights were violated.
862,health,none,none,Marianna drinks a lot during her pregnancy.,"Months later,",Marianna's baby is born with fetal alcohol syndrome.,"Days later,",Marianna has a miscarriage.,Marianna's baby is impacted by her drinking.
1427,education,none,none,She rarely does her homework.,"Months later,",She has to repeat the grade again as she does not have high enough scores for passing.,"Weeks later,",Her parents ground the child and force her to complete schoolwork and stop being lazy.,Homework is large part of the grading process and preparation for tests.
5054,environment,coastline,chatgpt,The coastline gets trashed.,"Years later,",Much of the marine life in the area has left or died.,"Weeks later,",the pollution brought about different groups to the coastline for cleanup,the pollutions increased without any intervention
9108,Business,agency,chatgpt,Jessica studied business administration,"Months later,",She becomes a business agency in automobile company,"Weeks later,",She receives a rejection email from the HR department.,She applies for a job at an automobile company.
7445,work,attention,chatgpt,"When Ed was at work, he gave his work his full attention.","Years later,",He was the head of his department and an expert in his field.,"Weeks later,",He couldn't deliver perfect works,He's very dedicated to work
9147,Business,perfect competition,chatgpt,The businessmen engaged in marketing competition,"Years later,",It turned out to be perfect competition,"Weeks later,",The businessman does not prepare and enters the market completely blind and flailing.,The businessman prepares by doing lots of research into the market.
3501,politics,politics,chatgpt,The political rally was attended by many citizens.,"Months later,",Leaders who held the rally were elected into the government.,"Weeks later,","Due to conflicts, the rally wasn't successful and the election was postponed",The rally made people decisive in electing the new government
4705,sports,soccer,gpt3,He practiced alone for long hours taking shots on goal.,"Months later,",He was the leading scorer on his high school soccer team.,"Weeks later,","His play away from the ball and on defense was sub-standard, so the  coach benched him for many games in favor of more well-rounded players.",He was able to make the high school soccer team during tryouts and made a starter due to his excellent shot.
4320,health,fitness,gpt3,Tina gets in a habit of eating junk.,"Years later,",Tina become obese.,"Weeks later,",Tina changes her diet to healthy food.,Junk can cause weight gain.
10860,Entertainment,video rentals,gpt3,Video tape rentals are high when DVDs first come out.,"Years later,",No one is renting video tapes anymore.,"Months later,","Some movies don't get put on DVD, so VHS tapes are necessary to watch some old favorites.",Better technology replaces older technology
3086,environment,weather,chatgpt,It was getting colder outside.,"Months later,",It started to snow in the area.,"Days later,",The cold front passed through and warm spring weather continued.,It was a time of year when it would snow.
6446,work,job evaluation,gpt3,Joseph works his hardest at his job.,"Months later,",Joseph receives a favorable job evaluation.,"Days later,",Joseph gets lazy.,Joseph is motivated.
1917,education,none,none,Evan was very conscientious about his grades.,"Years later,",Evan earned an acceptance to Princeton.,"Months later,",He got entangled with drugs and went into rehab,Evan studied studiously.
3169,business,business contraction,chatgpt,The company undergoes a business contraction.,"Months later,",The company conducts layoffs.,"Days later,",The company's business has a sudden upturn and all present employees are necessary.,"A business contraction means getting smaller, thus needing less employees."
2125,business,acquisitions,gpt3,The company acquires a new gym for its employees,"Months later,",Employees are healthy and productive.,"Weeks later,",The company closes the gym after learning their employees go to their previous gyms.,The company's employees use the gym.
1348,business,none,none,The two business met an agreement and underwent a buyout.,"Months later,",The workers of the company that had been bought out were left unemployed.,"Days later,",The merger agreement gets cancelled due to a financial disagreement.,"When two businesses merge, it is likely that the employees from the company that gets bought out lose their jobs"
11200,Business,business collaboration,chatgpt,A burger joint ran a promotion with a pizza joint.,"Years later,",The two companies joined together as one.,"Weeks later,",The promotion is a failure and the leadership of the two companies is at odds with one another.,The promotion went well and both businesses benefited from their collaboration.
3249,scitech,data mining,chatgpt,DATA  MINING IS USED TO EXTRACT A DATA FROM DATABASE,"Years later,",IT IS A STORAGE PLACE TO STORE ALL THE DATAS,"Weeks later,",The database is shut down due to concerns about the data mining.,The database is not negatively effected by the data mining.
5682,education,environmental science,chatgpt,Bethany had a new respect for the environment after taking an environmental science class at school.,"Years later,",She was a lobbyist for the support of tackling climate change.,"Weeks later,",Bethany was disillusioned by the limitations of her actions.,Bethany really put words to action to save the environment.
1937,work,none,none,Jordan stole money from her boss.,"Months later,",The HR department called Jordan into their office to fire her.,"Days later,",Jordon's boss doesn't notice the money is missing.,Jordan's boss notices the stolen money.
5399,health,physician assistant,chatgpt,He went to his doctor to find out what causes his back pain.,"Months later,",The back pain has disappeared since he followed the doctor's advice.,"Minutes later,","The doctor diagnoses him with a serious, untreatable spine defect.",The doctor provides advice that can treat the back pain.
6272,scitech,Renewable Energy,gpt3,A company makes the switch to renewable energy.,"Years later,",The company is looked upon fondly by the community and continues to expand.,"Months later,",The company switches back to traditional energy.,The company pollutes less.
5981,travel,backpacker,chatgpt,Josh quits his job and becomes a backpacker.,"Months later,",Josh has run out of funds and has to go back to work.,"Weeks later,",Josh's stock investments do really well so he cashes them out and extends his trip.,Josh doesn't have any other ways to make money during his trip.
1477,sports,none,none,"With the first pick of the college draft, the team selected the Heisman Trophy-winning quarterback.","Years later,",The quarterback lead the team to the Super Bowl.,"Weeks later,",The quarterback stops putting in effort.,The quarterback works hard on the new team.
6809,entertainment,books,gpt3,The author of the latest bestselling novel was tragically lost at sea during a recent storm.,"Years later,",The book's publisher contracts with another author to release a sequal.,"Months later,",The author wrote another novel to finish the sequel,not finishing the contract makes people  look for your replacement
1184,scitech,none,none,The company starts educating young children coding,"Years later,",The company becomes the leading tech company full of talented software developers.,"Months later,",They can no longer fund the program,The children are eager to continue learning
6380,health,nutrition information,gpt3,A law regarding nutritional information is passed in the senate,"Years later,",People get generally healthier due to more transparency,"Months later,","New snacks come out that are very tasty, even though they are nutritionally poor.",Nutritional information may cause people to reevalutate their food choices.
5324,health,joint,chatgpt,Ellie twists a joint while doing gymnastics.,"Months later,",Ellie is in physical therapy.,"Hours later,",Ellie feels all better.,Ellie continues to feel pain from the twist.
11540,Politics,confederalism,chatgpt,the politician promised true federalism during campaign,"Months later,",the politician wins the election,"Days later,",the candidate gets disqualified,people back the candidate
9407,Work,vocation,chatgpt,Jill studies vocation in school.,"Months later,",Jill gets a job.,"Weeks later,",Jill graduates but still doesn't know anything about her chosen vocation.,Studying something in school will make one employable.
6603,education,student,gpt3,The student wants to go to law school.,"Months later,",The student takes the LSAT exam.,"Days later,",The government scraps all standardized testing in all post-graduate schools,"In order to start a law degree at a law school, the student is required to take the LSAT exam"
868,health,none,none,A person switches their diet to include more vegetables.,"Months later,",The person's hair begins to become thicker and shinier.,"Weeks later,",A person reverted to eating more junk food all day long.,vegetables help improves ones health and making the body grow healthier
6196,business,market analysis,gpt3,Tim studies the stock market.,"Years later,",Tim becomes a stock broker.,"Months later,",Tim loses a lot of money on failed investments.,Tim determines which stocks are best to invest in.
8682,Education,educational technology,gpt3,The school received a technology grant.,"Years later,",The school was equippped with all new computers.,"Weeks later,",Several local parents voiced their concerns at the PTA meetings about their children having internet access.,The school board thought it was important to offer computer and internet access to their students.
8806,Entertainment,plays,gpt3,Mary got into stage acting.,"Years later,",Mary was in several broadway plays.,"Months later,",Negative reviews cause Mary to retire from stage acting and start doing toothpaste commercials.,Stage actors could go on to perform on broadway.
4390,health,nutrition and health,gpt3,Jim studies nutrition and health.,"Years later,",Jim becomes a nutritionist and is able to help others.,"Months later,",Jim learns he failed his final exam.,Jim does well in his nutrition and health program.
1008,education,none,none,Adam had a brilliant idea for his science fair project.,"Months later,",Adam was named the winner of the Intel High School Science Fair Competition.,"Weeks later,","Adam was informed that a picture of an insect, drawn in crayon on a brown paper bag, was not in fact brilliant.",Having a brilliant idea could lead to success.
3714,sports,apparel,chatgpt,A college hires an independent jersey company to make new uniforms for the football team.,"Months later,",The football team plays their first game of the season and reveals their new look.,"Hours later,",The company does bad work and is fired.,The company does good work.
7151,business,price,chatgpt,A business runs its model on pricing competitively,"Years later,",This ideal leads to continued success,"Days later,",The business uses a different model.,The business continues with this model.
3344,health,ophthalmology,chatgpt,An opthalmologist gives a patient an eye exam.,"Months later,",The patient is receiving treatment for a thyroid disorder that the exam revealed.,"Minutes later,",The ophthalmologist says everything looks good.,The eye exam goes badly.
5552,politics,civil servant,chatgpt,John studies political science in college.,"Years later,",John becomes a civil service.,"Months later,",John changes his major to biology.,John's political science degree will help him get a job as a civil servant.
4052,environment,global health,gpt3,A meteor hits the planet.,"Months later,",The meteor brings with it many diseases that affect the global health.,"Seconds later,",The impact kills all virus/diseases on the meteor,"A foreign object, like a meteor, may contain a disease that is harmful to mankind."
9787,Sports,rink,chatgpt,Jessica likes sports so much,"Years later,",She becomes a local sport organizer,"Weeks later,",Jessica realized she hates organizing.,Jessica also liked organizing.
9798,Sports,precision,chatgpt,Rian makes a precision shot from across the field.,"Years later,",Rian is poached by a rival sports team.,"Minutes later,",Rian tells the rival sports team's coach he is 100% loyal to his current team.,Rian impresses the rival sports team's coach.
10280,Science/Technology,Cloud Security,gpt3,the company had a cyber attack,"Months later,",the software engineer create a near cloud security,"Weeks later,",The cyber attack effectively knocked to company out of business.,Suffering any sort of criminal attack leads people to take security more seriously.
6387,health,physical and mental health services,gpt3,"After a series of tragedies, people demand more physical and mental health services.","Decades later,",Physical and mental health have risen nationally.,"Minutes later,",People give up on their demands.,People continue to demand this.
6930,travel,car rental,gpt3,Suzan rents a car for travel.,"Months later,",Suzan continues to pay off a large bill after returning the car in poor shape.,"Minutes later,",Suzan changes her mind and flies to her destination.,Suzan got in a wreck while driving the car.
6483,work,career advancement,gpt3,A woman is offered a promotion at work,"Years later,","Taking it, she steadily advances the corporate ladder","Days later,",a woman not accepted that,she was work hard for that promotion so she is happy to accept that
6869,entertainment,online streaming,gpt3,John starts an online streaming business.,"Years later,",The business goes out of business because John does not have experience.,"Days later,",John is successful.,John is lazy.
5892,entertainment,video game tournament,chatgpt,Sam wants to qualify for the video game tournament.,"Months later,",Sam is practicing video games every day.,"Weeks later,",sam desire is cut short as he is now interested in swimming,sam desire to qualify means he must beat the best and become the best
2266,scitech,IoT Platforms,gpt3,The company introduced new IoT platforms.,"Months later,",Sharing of information is much easier and quicker.,"Minutes later,",The new IoT platforms are too expensive for the company so they are dropped.,The new IoT platforms take effect immediately.
5621,education,program,chatgpt,The student enrolls in a mentorship program.,"Months later,",The student's grades have improved.,"Weeks later,","The mentor is overcommitted and drops out of the program, leaving the student mentor-less.",The student follows his mentor's advice.
8397,Health,health and nutrition goals,gpt3,Nick meets his health and nutritional goals.,"Decades later,",Nick is still living a long and happy life at the age of 95.,"Months later,",He's unfocused and lack determination to improve his health,She's very determined and serious with his health
8837,Entertainment,sports teams,gpt3,The local sports teams offer free tickets to local schools.,"Months later,","Attendance numbers increase, and so do food and beverage sales.","Weeks later,","Kids are uninterested in going, and decide to stay home, and so do their parents.",Kids bring their parents to the games.
7047,environment,environmental justice movement strategies,chatgpt,The government wants to maintain healthy environment,"Years later,",They establishes sustainable environmental development,"Weeks later,",The government forgets about this endeavor.,The government continues to try to keep the environment healthy.
9662,Education,interpersonal skills,chatgpt,Cindy learns interpersonal skills when she starts kindergarten.,"Years later,",Cindy is the most popular student in her high school.,"Months later,",She's the worst because she's not hardworking,She works very hard and becomes more skilled
7110,business,limited partnership,chatgpt,John starts a business but does not establish it as a limited partnership.,"Years later,",John is in trouble because he gets sued personally.,"Days later,",John gets a limited partnership.,John never has a limited partnership.
6844,entertainment,producers,gpt3,Vera goes to school to learn to become a producer.,"Years later,",Vera lands her first gig as a producer on a low fund movie.,"Months later,",Vera gets into an argument with her school's dean and he fails her out.,Vera does well in school.
7074,environment,evolution,chatgpt,Tim caught a virus from the lake that evolved into a deadly disease.,"Years later,",Tim is in a wheelchair because his body got so weak.,"Weeks later,",Tim recovered.,Tim was very sick.
7379,health,pandemic,chatgpt,Our neighbor quarantined himself because of covid-19.,"Months later,","even though he was safe, he affected by covid-19 and cured day by day.","Weeks later,",He couldn't be fine,He's improving
12780,Sports,parasailing,gpt3,Scott was planning his vacation with his family.,"Months later,",Scott was parasailing with his son.,"Minutes later,",Scott and his family decided to go skiing.,Scott and his family decided to go to a place where they could parasail.
220,business,none,none,The clothing company decides to advertise using public figures.,"Years later,",The company becomes popular among the youth.,"Weeks later,",The clothing company's spokespeople are involved in a scandal.,"People, especially young people, like to emulate celebrities, so if a celebrity uses a product, they'll want to use it too."
8967,Travel,discount flights,gpt3,A website offers discount flights During certain hours of the early morning.,"Months later,",The traffic increases steadily until it reaches numbers that resemble midday.,"Weeks later,",They inexperienced and couldn't achieve success,They worked hard and are experienced
6212,scitech,Computer Science,gpt3,Scitech is good course,"Years later,",Lots of people studied computer science to become scitechs,"Days later,",It is found that Scitech is no longer a good course.,Scitech continues to be a good course.
2913,travel,flight booking,gpt3,My favorite airline started offering extra perks for free and more flexibility when making a reservation.,"Years later,",I still only use my favorite airlineand don't even check prices at other airlines.,"Months later,",The airline raised prices for flights and were no longer affordable.,The airline incentives were the best in the industry.
7708,sports,record,chatgpt,A local athlete competed in the olympics and beat the record for fastest runner.,"Years later,",The athlete is deemed a hero by the town; they are offered jobs in commercials and a book deal.  They inspire others and tourists flock to their town to see where this olympian grew up.,"Hours later,",It was found that the athlete didn't break the record after all.,The record was certified.
7924,travel,visa,chatgpt,"Because he is not vaccinated for COVID, Joe is denied a visa to enter the UK to see his parents.","Months later,",Joe gets vaccinated for COVID.,"Days later,",Joe gets a visa.,Joe still doesn't have a visa.
3276,scitech,biology,chatgpt,Too much fertilizer was put in the cornfield.,"Months later,",Only half of the corn grew that season.,"Weeks later,",The corns flourished because of the help of the fertilizer,The application of too much fertilizer caused death of some corns
3910,travel,travel agent,chatgpt,the agent is help to advising about traveling,"Months later,",it gave a good idea about travel,"Weeks later,",Customers realized the travel agent was sending them to substandard locales and refused to travel with them again.,Customers found the travel agent to give good advice about their trips.
4090,environment,sustainable cities,gpt3,The creates a plan to create sustainable cities.,"Years later,",There are sustainable cities all over the country.,"Months later,","Residents vote the measure down, stating it will cost too much money.",Companies are contracted to build the cities.
8582,Politics,election-campaign,gpt3,James ran the new governor's election campaign.,"Months later,",The new governor gave him a job in his administration.,"Weeks later,",James goes on to run another campaign in another state.,The governor promises James he'll find him a job one day.
9546,Politics,plutocracy,chatgpt,Wealthy businessman buy up politicians left and right.,"Decades later,",The country has become a plutocracy.,"Years later,",They're not corrupt,They're corrupted
1946,health,none,none,Jerry had fallen down a flight of stairs at his apartment.,"Months later,",Jerry was starting to walk without crutches.,"Days later,",Jerry is discharged and is in stable condition.,Jerry injures his legs and is hospitalized
6998,travel,travel websites,gpt3,Kitty starts using travel websites.,"Years later,",Kitty regularly visits foreign countries.,"Hours later,",Kitty decides not to use these websites anymore.,Kitty continues using these websites.
1546,sports,none,none,Chris decided to take on Rugby as a sport.,"Months later,",Chris decides to quit after seeing how dangerous the sport is.,"Days later,",Chris starts lifting at the gym to help his body absorb the punishment from playing rugby.,Rugby is a contact sport which is different to watch as a spectator than to play.
2630,education,major,gpt3,Jane changed her major from engineering to drama after taking an acting class.,"Decades later,",Jane wins her first Oscar.,"Years later,",Jane doesn't get cast in Hollywood movies because she isn't good enough so Jane tries to find other work.,Jane is such a good actress that she gets cast in a Oscar winning film.
5537,politics,authoritarianism,chatgpt,The government installs policies that have flavors of authoritarianism.,"Months later,",The citizens rebel against the government.,"Weeks later,",The public realizes that the policies benefit them a lot.,The public dislikes the policies.
4335,health,healthy diet,gpt3,Tom's doctor tells him he had diabetes and needs to eat better.,"Months later,",Tom no longer needs to take his diabetes medication as his diet now controls his sugar levels.,"Weeks later,",Tom does not take his doctor's advice.,Leading a healthier lifestyle can mitigate the worst of diabetes.
5155,business,capital,chatgpt,Ken won lots of money through betting,"Months later,",Ken established a big supermarket with the proceeds,"Weeks later,",Ken lost all his savings to bet,Ken is betting and skilled
6922,travel,holiday,gpt3,The husband whisks the family away for a holiday trip.,"Years later,",The kids ask to go on another holiday trip.,"Weeks later,",The kids have already forgotten about the trip.,The kids are old enough to remember the first holiday trip.
2442,work,job skills,gpt3,The company started a training program to improve workers' job skills.,"Months later,",The skills of the workers had greatly improved.,"Days later,",Many could not afford to join the training program.,Many employees joined the program.
3610,education,institute,chatgpt,An educator founds an institute for learning.,"Decades later,",The institute provides funding for low-income students to receive proper education.,"Months later,",Institute lacks funding to do research that will make an impact.,The institution works diligently to solve real world problems in society.
3567,politics,political convention,chatgpt,"The political party is targeting to win the next presidential election, so they organised a 2 day political convention","Months later,","The political party won the election because in the political convention, they tackled all issues that tends to limit their party and candidate from winning","Days later,",The political convention is over and nothing was accomplished due to disagreements between factions of the party.,A 2 day political convention is long enough to organize the political party's efforts.
6369,health,physical fitness program,gpt3,Joan followed the physical fitness program recommended by her trainer,"Years later,",Joan became very flexible and can do splits easily,"Weeks later,",Joan gets lazy.,Joan is motivated.
9291,Science/Technology,earth science,chatgpt,She studies earth science in school.,"Years later,",She becomes an environmental activist.,"Months later,",She realizes she won't make any money pursuing earth science as a career and is disillusioned.,She has a real interest in her studies.
2855,entertainment,music reviews,gpt3,The music album gets better music reviews from audience.,"Months later,",The music director gets a special award for his album by reviews.,"Weeks later,",The new Beyonce album dropped and awards bodies decide to honor that album instead.,The album was admired more than any other album put out that year.
3717,sports,scandal,chatgpt,An athlete collapses at an international sports tournament that's being held in a country that is a political adversary of their country and has a poor human rights record.,"Months later,",Speculation of foul play abounds on the internet despite the fact that the autopsy proved the athlete had died of natural causes.,"Weeks later,",The athlete was strong enough enough and leads a healthy lifestyle,The athlete has underlying health problems
5013,environment,carbon footprint,chatgpt,People take better care to reduce their carbon footprint,"Decades later,",The environment is saved from ecological disaster,"Months later,",People find it's inconvenient and expensive to use alternate energy so they stop.,People reducing their carbon footprint is beneficial to the environment.
7494,work,guidance,chatgpt,Max struggled with the new processes at work and requested guidance from his manager.,"Months later,",Max was able to comprehend with the assistance and then he wrote a users guide for new hires to utilize.,"Weeks later,",He couldn't understand anything,Max is very intelligent and skilled
9722,Sports,defeat,chatgpt,The team lost the match with last kick of the ball.,"Months later,",The defeat still haunts the players.,"Minutes later,",The coach successfully shows via video footage that the other team cheated to win.,The team is so disappointed.
8265,Science/Technology,Industrial Internet of Things,gpt3,Tim studied internet of things in college.,"Years later,",Tim became a network engineer because of his studies.,"Days later,",Tim stopped using his Google Home because he became convinced that it was being used to spy on him.,Tim enjoyed studying the internet of things and sees potential in it.
9675,Education,calculus,chatgpt,Irwin is really good at calculus.,"Years later,",Irwin studies to become an engineer.,"Months later,",Irwin is ordained as a Catholic priest and takes over a rural church.,Irwin wants to use calculus in his profession.
6048,environment,climate science,gpt3,Bill enrolled in meterology college.,"Years later,",Bill got a degree in climate science.,"Months later,",Bill decides to transfer to a music school to study musical performance instead.,Bill studies climate science at meteorology college to get a degree.
7608,education,academy,chatgpt,The private academy had a great record for turning out leaders.,"Decades later,",The private academy had an alumnus elected president.,"Years later,",Their education quality reduced,They give quality education
5396,health,specialist,chatgpt,Maggie sees a specialist for her urinary issue.,"Months later,",Maggie's urinary issue is resolved.,"Days later,",She neglected her medications,She takes her medications seriously
2370,health,diet tips,gpt3,A teenage girl searches social media for diet tips.,"Years later,",The girl suffers from anorexia and body issues.,"Months later,",the girl diets sensibly and is satisfied with the results.,Obsession over being overweight leads to anorexia and body issues.
1997,business,none,none,A cell phone company refused to use Android or iO operating systems.,"Years later,",The cell phone company went out of business.,"Days later,",The company unveils their own operating systems that are far superior to Android and iO systems.,"If the company does not use a popular operating system, it is likely that they will lose users"
1881,travel,none,none,Nakhumicha is very happy after visiting Tanzania.,"Years later,",Nakhumicha looks forward to visiting Tanzania again missing the friends she made during the previous visit.,"Days later,",Nakhumicha make no friends and does not enjoy her visit.,Nakhumicha makes many friends during her visit.
3839,entertainment,prop,chatgpt,A prop is used in a famous movie.,"Decades later,",A charity raises millions by selling the prop.,"Years later,",The prop is stolen from storage.,The prop is donated to a charity.
183,environment,none,none,A series of vines begin to grow in a forest.,"Centuries later,","The vines choke the life out of the existing plant life, destroying the forest.","Years later,",The vines die off before they become a threat.,The vines wrap themselves around the plants that live in the forest.
1141,work,none,none,She started picking up extra shifts at her job to save money for a better apartment.,"Months later,",she finally was able to move in to her new place and she was so happy she cried.,"Weeks later,",She was unable to get the money and complete the requirement,She was able to save enough money to get another apartment
4722,sports,cycling,gpt3,"Cycling strenthens yopur heart muscles, lowers resting pulse and reduces blood fat levels.","Years later,","regular cycling stimulates and improves your heart , lungs and circulation, reducing your risk of cardiovascular diseases.","Months later,",The outcome of exercise and fitness is so tiresome and it tends to cause pain,Fitness and exercise awareness was made to teach and encourage people
1534,politics,none,none,The political party has unsettled and unresolved issues and conflicts among party members,"Months later,",The political party lose many party members and eventually loss the election to be opposition party because of the conflicts,"Days later,",The party members make peace.,The party members continue to fight.
2585,politics,national-security,gpt3,An open border policy allows millions of undocumented individuals to enter the country.,"Years later,",The nation security is threatened as illegal immigrants increase the crime rates in border areas.,"Months later,",More and more immigrants are taking jobs that no Americans want like landscaping and are really helping the country.,Many of the individuals were criminals.
9913,Travel,sightseeing,chatgpt,Sandra is planning a trip,"Months later,",She went on a sightseeing tour,"Days later,",Sandra is unable to go on the trip due to an unexpected accident.,Sandra heads out on her trip.
839,environment,none,none,An earthquake levels a school.,"Months later,",A newly rebuilt school is opened.,"Days later,",The city decides to spend the funds on other things.,Funding comes to rebuild the school.
4142,business,retail,gpt3,The company decides to partner with retailers,"Years later,",The company's products become a household brand in the city.,"Weeks later,",All of the company's negotiations with the retailers have fallen through.,The retailers want to partner with the company.
5376,health,immunization,chatgpt,The Johnson family received their immunizations against the flu,"Months later,",No one in the family got the flu during flu season,"Weeks later,",The family refused vaccinations and were infected,The family live healthy lifestyles and becomes vaccinated
8957,Travel,hotel deals,gpt3,Jill’s booked her hot for a trip three months in advance.,"Months later,",Jill saved $500 and was able to go to a concert while on vacation.,"Weeks later,",He couldn't achieve success because he's lackadaisical.,He worked hard to achieve the success
7102,business,company,chatgpt,Jonah starts a new company without a lot of knowledge.,"Years later,",Jonah's business fails and the doors close.,"Months later,",He has gained lots of knowledge about managing businesses,He didn't work hard to maintain it
2571,politics,liberal-conservative-coalition,gpt3,The liberal conservative coalition works hard to bridge gaps between the two parties.,"Decades later,",Liberals and conservatives are able to work together for the betterment of the country.,"Weeks later,",The two groups cannot agree on anything.,Collaboration between groups leads to more agreements between them.
1265,politics,none,none,The man ran for city council,"Months later,",He won his election,"Weeks later,",The man moved outside the district and could no longer be elected to the area.,City council elections are easier to win as the community is generally small and closely knit.
4420,work,business,gpt3,The company decides to venture into food processing.,"Years later,",The company expands and hires more employees.,"Months later,",there was huge losses recorded as a result of the decision.,the exercise lead to more profit recorded by the firm
5784,sports,coverage,chatgpt,John blew his coverage on the quarterback in the big game.,"Years later,",He didn't make the team in college.,"Months later,","Before the start of the new season, John's coach worked with him specially to make him a better football player.",John let one blown play dictate how he played for years to come.
4304,health,diet,gpt3,Mark gained a lot of weight over the summer.,"Months later,",Mark went on a diet.,"Days later,",Mark 's girlfriend told him he looked fine with the extra weight.,Gaining weight is a negative outcome that people will try to rectify.
6966,travel,sightseeing tours,gpt3,A local travel website begins to Discount sightseeing tours.,"Months later,",All of their tours have sold out and they are very successful.,"Days later,",No one hears about the discounts.,Customers find out about the discounts.
2308,health,disease prevention,gpt3,John is involved in a car crash and gets brain damage,"Years later,",he struggles to remember things clealry.,"Months later,",John's brain heals.,The brain damage is never repaired.
5864,entertainment,comedy club,chatgpt,The comedy club is constantly sold out.,"Years later,",The comedy club opens a second location.,"Months later,","The owners get out before business can go downhill, and retire.","When a place is so popular that everyone can't get in, the owners often create a second location."
5022,environment,acid rain,chatgpt,There were a lot of pollutants in the area near the city.,"Decades later,",The cars in the area were damaged by toxic rain.,"Years later,",An initiative was created to control and eliminate the pollutants in the area around the city.,Releasing toxic elements into the air can create adverse affects in the environment
