ID,cause,assumption,ID_old,domain,keyword,long_term_interval,defeater,defeater_time_interval,long_term_effect
2928-2,Libby books cheap airfare to France.,Libby's trip goes smoothly as planned.,2928,travel,airfare,"Months later,","There are too many incidents like bad weather, workers strike, and so on that screw up Libby's trip, which incurred extra cost of expenses.","Days later,",Libby has a low budget European summer vacation.
2928-3,Libby books cheap airfare to France.,Libby's flight gets to France smoothly.,2928,travel,airfare,"Months later,",Libby is robbed at gunpoint at the airport and she's too scared to stay in the country.,"Seconds later,",Libby has a low budget European summer vacation.
2933-1,the airline offered discount deals to al there clients,Clients appreciated the discount deals.,2933,travel,flights deals,"Months later,",Clients complained that the discount codes were not valid.,"Days later,",the airline got more clients than before
2933-2,the airline offered discount deals to al there clients,The airline puts the offer on social media.,2933,travel,flights deals,"Months later,",The airline removes their offer on discount deals and raises prices.,"Weeks later,",the airline got more clients than before
2933-3,the airline offered discount deals to al there clients,The airline clients all sign up for the offer.,2933,travel,flights deals,"Months later,",The airline is forced to discontinue the offer.,"Weeks later,",the airline got more clients than before
2936-1,She bought a cheap ticket at the station.,The ticket was half price.,2936,travel,cheap ticket,"Months later,",She had to buy another ticket because she didn’t reach her destination.,"Hours later,",She still has money left from the trip.
2936-2,She bought a cheap ticket at the station.,The ticket was less than she thought.,2936,travel,cheap ticket,"Months later,",The ticket didn’t include a return trip and it cost more than expected.,"Weeks later,",She still has money left from the trip.
2936-3,She bought a cheap ticket at the station.,If you buy cheaper things you can save up more money.,2936,travel,cheap ticket,"Months later,",The money that she saved got robbed.,"Minutes later,",She still has money left from the trip.
2942-1,Tim had road trip ideas and told his wife.,Tim's wife was concerned about the costs of the road trip.,2942,travel,road trip ideas,"Years later,",Tim's wife was convinced a trip would be a great idea.,"Days later,",Tim's wife divorced him for taking too many trips.
2942-2,Tim had road trip ideas and told his wife.,Tim becomes addicted to road trips.,2942,travel,road trip ideas,"Years later,",Tim gives up taking road trips and stays home.,"Months later,",Tim's wife divorced him for taking too many trips.
2942-3,Tim had road trip ideas and told his wife.,Tim plans many road trips.,2942,travel,road trip ideas,"Years later,",Tim decides to cancel all his trips and stay home.,"Weeks later,",Tim's wife divorced him for taking too many trips.
2962-1,Vern was planning a business trip for the convention.,Vern booked the flight.,2962,travel,flight tickets,"Months later,",There is lock down due to pandemic and no flights are permitted.,"Days later,",Vern was getting onto the plane for his flight.
2962-3,Vern was planning a business trip for the convention.,Vern will need to fly to get to the convention.,2962,travel,flight tickets,"Months later,",Vern buys a bus ticket to the city where the convention is being held.,"Weeks later,",Vern was getting onto the plane for his flight.
2970-1,Eva loves spending her childhood summers at beach resorts.,Eva books a vacation to the beach resort.,2970,travel,beach resorts,"Decades later,",Eva gets tired of the beach and visits ski resorts.,"Years later,",Eva brings her own children back to the beach resorts for her own family's vacations.
2970-2,Eva loves spending her childhood summers at beach resorts.,She quickly takes up the opportunity to buy a vacation home near one of the resorts.,2970,travel,beach resorts,"Decades later,",The beach becomes polluted and known for violent crimes.,"Years later,",Eva brings her own children back to the beach resorts for her own family's vacations.
2970-3,Eva loves spending her childhood summers at beach resorts.,Eva's kids want to go to the beach too.,2970,travel,beach resorts,"Decades later,",Eva tells them she can't afford to take them to the beach.,"Minutes later,",Eva brings her own children back to the beach resorts for her own family's vacations.
2988-1,The travel agency offered a promotion to their customers for beach vacation packages.,The agency puts the offer on social media.,2988,travel,beach vacation packages,"Years later,",The agency has to discontinue the offer.,"Hours later,",Many tourist still sign up with the agency and the agency has become popular.
2988-2,The travel agency offered a promotion to their customers for beach vacation packages.,Promotions are a good way to grow a business.,2988,travel,beach vacation packages,"Years later,",All promotions were cancelled.,"Months later,",Many tourist still sign up with the agency and the agency has become popular.
2988-3,The travel agency offered a promotion to their customers for beach vacation packages.,Travel agency advertises their vacation packages.,2988,travel,beach vacation packages,"Years later,",Travel agency pulls their vacation packages and it is no longer available.,"Months later,",Many tourist still sign up with the agency and the agency has become popular.
2995-1,Susan was too busy at work to search for travel so she downloaded a Trip Finder app.,The Trip Finder app worked without glitches.,2995,travel,road trip planner app,"Months later,",The Trip Finder app got very buggy.,"Days later,",The Trip Finder app scored her an amazing deal on a rental car.
2995-2,Susan was too busy at work to search for travel so she downloaded a Trip Finder app.,The app is easy to use and very effective of finding alternatives for user's needs.,2995,travel,road trip planner app,"Months later,",The app is not user friendly and stuck most of the time.,"Hours later,",The Trip Finder app scored her an amazing deal on a rental car.
2995-3,Susan was too busy at work to search for travel so she downloaded a Trip Finder app.,She used the Trip Finder app seamlessly.,2995,travel,road trip planner app,"Months later,",The app started getting very glitchy.,"Hours later,",The Trip Finder app scored her an amazing deal on a rental car.
2998-1,Jake wanted to take a vacation so he consulted various travel websites for ideas.,Jake searches for vacations.,2998,travel,travel websites,"Months later,",Jake has to work and can’t take a vacation.,"Weeks later,",he took a vacation and enjoyed himself because the information he found on the travel websites.
2998-2,Jake wanted to take a vacation so he consulted various travel websites for ideas.,He learned a lot from the travel websites.,2998,travel,travel websites,"Months later,",He forgot what he read on the travel websites.,"Minutes later,",he took a vacation and enjoyed himself because the information he found on the travel websites.
2998-3,Jake wanted to take a vacation so he consulted various travel websites for ideas.,Travel websites provide useful information for vacationers.,2998,travel,travel websites,"Months later,",Jake saw the estimated prices of the trips and realized he couldn't afford to go anywhere.,"Hours later,",he took a vacation and enjoyed himself because the information he found on the travel websites.
3019-1,Humans pollute the environment near a lake.,No one clears out the pollution.,3019,environment,food chain,"Years later,",Volunteers clean up the pollution completely.,"Hours later,","Fish die off, disrupting the natural ecosystem and food chain."
3019-2,Humans pollute the environment near a lake.,More pollution takes place  near and in the lake.,3019,environment,food chain,"Years later,",Activist rally to stop pollution and the lake is cleaned.,"Weeks later,","Fish die off, disrupting the natural ecosystem and food chain."
3019-3,Humans pollute the environment near a lake.,Pollution kills fish.,3019,environment,food chain,"Years later,","Because of the pollution, the fish mutate into super fish and the food chain is strengthened.","Months later,","Fish die off, disrupting the natural ecosystem and food chain."
3028-1,The marsh is full of litter.,Government does nothing about the litter.,3028,environment,marsh,"Years later,",The litter is cleaned and the marsh thrives.,"Days later,",Wildlife has deserted the marsh.
3028-2,The marsh is full of litter.,No one cleans the litter.,3028,environment,marsh,"Years later,",Volunteers clean the litter.,"Days later,",Wildlife has deserted the marsh.
3028-3,The marsh is full of litter.,Litter causes damage to the animals and surrounding ecosystem of the marsh.,3028,environment,marsh,"Years later,",An environmental group's campaign has resulted in weekly cleanups of the marsh that have rejuvenated the area.,"Weeks later,",Wildlife has deserted the marsh.
3034-1,The residents took it to the street to demand for a garbage disposal system.,Public outcries can cause governments to respond.,3034,environment,environmental activism,"Months later,",The police cracked down on the protest and the government branded them as unrepresentative.,"Hours later,",The government had put in place a garbage disposal system.
3034-2,The residents took it to the street to demand for a garbage disposal system.,The government agreed to provide such a system.,3034,environment,environmental activism,"Months later,",The government declared it was on the brink of bankruptcy.,"Hours later,",The government had put in place a garbage disposal system.
3034-3,The residents took it to the street to demand for a garbage disposal system.,People demand a new disposal system.,3034,environment,environmental activism,"Months later,",The police arrests all the people protesting.,"Hours later,",The government had put in place a garbage disposal system.
3038-1,The temperature of the atmosphere increases.,Temperature increase causes iceberg melts.,3038,environment,temperature,"Years later,",The earth cools.,"Months later,",Icebergs start melting.
3038-2,The temperature of the atmosphere increases.,Environmental activists aren't able to stop global warming.,3038,environment,temperature,"Years later,",Legislation is passed by environmental activists to stop global warming.,"Months later,",Icebergs start melting.
3038-3,The temperature of the atmosphere increases.,Higher global temperatures cause icebergs to melt.,3038,environment,temperature,"Years later,",A natural cold spell temporarily offsets global warming.,"Months later,",Icebergs start melting.
3067-1,Rich activists help fund environmental justice campaigns aimed at the youth.,The campaigns are successful.,3067,environment,environmental justice campaigns,"Decades later,",The campaigns come to a crashing halt after accusations of bribery.,"Days later,",Environmentally conscious actors are elected to Congress and state legislator.
3067-2,Rich activists help fund environmental justice campaigns aimed at the youth.,Youth will vote for actors if they support the right causes.,3067,environment,environmental justice campaigns,"Decades later,",A meme begins on social media making fun of rich people who try to manipulate public opinion.,"Days later,",Environmentally conscious actors are elected to Congress and state legislator.
3067-3,Rich activists help fund environmental justice campaigns aimed at the youth.,Young people vote for actors who support their favorite causes.,3067,environment,environmental justice campaigns,"Decades later,",An investigative report reveals that the campaigns wasted most of the money.,"Years later,",Environmentally conscious actors are elected to Congress and state legislator.
3069-1,The government installs a dam in the big river,The dam is very effective.,3069,environment,environmental legislation,"Years later,",Volunteers help move the dam to a less disruptive area.,"Hours later,",the downstream ecosystem lacks many essential components.
3069-2,The government installs a dam in the big river,The dam prevents essential compounds from reaching the downstream area.,3069,environment,environmental legislation,"Years later,",The dam is knocked over by a storm.,"Days later,",the downstream ecosystem lacks many essential components.
3072-1,The government introduces a policy of barring people from encroaching forest reserves,Humans have a detrimental effect on forests.,3072,environment,environmental policy,"Years later,",The government fails to secure any funding to enforce the policy.,"Days later,",The country becomes greener after reduce human activity in forests.
3072-2,The government introduces a policy of barring people from encroaching forest reserves,People follow the policy.,3072,environment,environmental policy,"Years later,",People realize there are no consequences for not following the policy.,"Weeks later,",The country becomes greener after reduce human activity in forests.
3072-3,The government introduces a policy of barring people from encroaching forest reserves,There won't be any resistance to the government's policies.,3072,environment,environmental policy,"Years later,",Anti-environmental protesters burn the forests down.,"Days later,",The country becomes greener after reduce human activity in forests.
3083-1,The large population exerts pressure on food and natural resources,Population continues to increase.,3083,environment,overconsumption,"Years later,",The world implements initiatives to decrease climate change.,"Months later,",The world is grappling with climate change and natura disasters.
3083-2,The large population exerts pressure on food and natural resources,The increased pressure strains the environment.,3083,environment,overconsumption,"Years later,",Scientists come up with solutions to lessen the strain on the environment.,"Weeks later,",The world is grappling with climate change and natura disasters.
3090-1,The rainforest has become almost treeless.,A lack of trees has a large impact on a rainforest.,3090,environment,cycle,"Decades later,","After the election, the new government takes bold actions to reforest the region.","Months later,",The natural cycle the rainforest was part of has been disrupted and there are related environmental impacts worldwide.
3090-2,The rainforest has become almost treeless.,There are no additional trees planted.,3090,environment,cycle,"Decades later,",Volunteers replant all the trees.,"Weeks later,",The natural cycle the rainforest was part of has been disrupted and there are related environmental impacts worldwide.
3090-3,The rainforest has become almost treeless.,No one replants the rainforest.,3090,environment,cycle,"Decades later,",The rainforest is replanted.,"Weeks later,",The natural cycle the rainforest was part of has been disrupted and there are related environmental impacts worldwide.
3093-1,A conservation group starts to repair the habitat location of an endangered species,It is possible to repair the habitat of the endangered species.,3093,environment,habitat destruction,"Decades later,","Despite the group's efforts, the habitat of the endangered species has been completely destroyed.","Years later,",The endangered species is no longer endangered
3093-2,A conservation group starts to repair the habitat location of an endangered species,The endangered species begin to thrive.,3093,environment,habitat destruction,"Decades later,",People continue to pollute the location and all species die.,"Years later,",The endangered species is no longer endangered
3093-3,A conservation group starts to repair the habitat location of an endangered species,The endangered species thrive in the location.,3093,environment,habitat destruction,"Decades later,",The habitat location becomes polluted.,"Years later,",The endangered species is no longer endangered
3135-1,A new business starts advertising on local television and radio stations.,More people hear about the new business.,3135,business,marketing,"Months later,",The new business is forced to shut down.,"Weeks later,",The business has built up their clientele and starts to make a profit.
3135-2,A new business starts advertising on local television and radio stations.,Advertising helps you gain clientelle.,3135,business,marketing,"Months later,",People said the commercials were silly.,"Hours later,",The business has built up their clientele and starts to make a profit.
3135-3,A new business starts advertising on local television and radio stations.,The business creates a business plan.,3135,business,marketing,"Months later,",The business plan crumbles.,"Days later,",The business has built up their clientele and starts to make a profit.
3181-1,A business man implements new technology in his business for customers.,Customers will always appreciate it when a business adopts new technology.,3181,business,business technology,"Months later,",Customers complain about the new technology and want the businessman to go back to the old way of doing things.,"Weeks later,",Most of the customers satisfy about his service and business is improved.
3181-2,A business man implements new technology in his business for customers.,New technology will lead to customer satisfaction.,3181,business,business technology,"Months later,",The customers are unhappy with the new technology.,"Weeks later,",Most of the customers satisfy about his service and business is improved.
3181-3,A business man implements new technology in his business for customers.,The new technology is well received.,3181,business,business technology,"Months later,",The new technology is to difficult to use.,"Days later,",Most of the customers satisfy about his service and business is improved.
3184-1,Michael invents a business process automation system that streamlines the company.,Streamlined operations reduce costs and increase profits.,3184,business,business process automation,"Decades later,",The company reduces staff too much and soon lacks workers.,"Months later,",The company is one of the most profitable in the world.
3184-2,Michael invents a business process automation system that streamlines the company.,The company is well received.,3184,business,business process automation,"Decades later,",The company goes bankrupt and closes.,"Years later,",The company is one of the most profitable in the world.
3184-3,Michael invents a business process automation system that streamlines the company.,The automation system runs without glitches.,3184,business,business process automation,"Decades later,",The automation system gets very buggy.,"Months later,",The company is one of the most profitable in the world.
3196-1,Business internationalization is becoming more common.,Companies become interdependent on each other.,3196,business,business internationalization,"Years later,",Companies decide to revoke interdependence in order to operate in the market as free agents.,"Months later,",The entire world’s economy is intertwined.
3196-2,Business internationalization is becoming more common.,More companies do business with each other globally.,3196,business,business internationalization,"Years later,",The foreign economy tanks.,"Weeks later,",The entire world’s economy is intertwined.
3196-3,Business internationalization is becoming more common.,A lot of businesses around the world enact transactions with each other.,3196,business,business internationalization,"Years later,",The global economy crashes badly.,"Weeks later,",The entire world’s economy is intertwined.
3204-1,Scitech decides to become a for profit organization and no longer accepts donations.,Scitech doesn't have any other sources of funding.,3204,scitech,research,"Years later,",Scitech comes across a lot of new money from its profits.,"Weeks later,",Scitech cannot succeed with its mission without the donations it once had.
3204-2,Scitech decides to become a for profit organization and no longer accepts donations.,Scitech is left with no money.,3204,scitech,research,"Years later,",Private investors donate money to Scitech.,"Weeks later,",Scitech cannot succeed with its mission without the donations it once had.
3207-1,The United States decides to adopt the metric system unit of measurement.,People don't know how to use the metric system.,3207,scitech,measurement,"Months later,",People learn quickly how to use it.,"Hours later,",Confusion is common as many still use the imperial system and don't understand the metric system.
3207-2,The United States decides to adopt the metric system unit of measurement.,The United States never learns the imperial system.,3207,scitech,measurement,"Months later,",Training is offered in both imperial and metric systems.,"Weeks later,",Confusion is common as many still use the imperial system and don't understand the metric system.
3207-3,The United States decides to adopt the metric system unit of measurement.,A lot of people try to use the metric system and fail.,3207,scitech,measurement,"Months later,",They learn the metric system and understand it now.,"Hours later,",Confusion is common as many still use the imperial system and don't understand the metric system.
3217-1,Scientist believe they can create fusion in a lab,Fusion can be created in a lab.,3217,scitech,innovation,"Years later,",Scientists give up on creating fusion in a lab.,"Months later,",The first ever fusion reaction is sustained for a number of seconds and contained
3217-2,Scientist believe they can create fusion in a lab,Believing you can do something can lead to success down the road.,3217,scitech,innovation,"Years later,",They are denied necessary funding for their project.,"Weeks later,",The first ever fusion reaction is sustained for a number of seconds and contained
3217-3,Scientist believe they can create fusion in a lab,If scientists believe they can do something they will find a way to do it.,3217,scitech,innovation,"Years later,",Scientists admit they were wrong and give up on creating fusion in a lab.,"Months later,",The first ever fusion reaction is sustained for a number of seconds and contained
3226-1,The scientist comes up with a new iteration of his formula.,A new iteration of a product is likely to be an improvement.,3226,scitech,iteration,"Years later,",Testing shows the new formula doesn't work.,"Months later,",The formula is a great market success.
3226-2,The scientist comes up with a new iteration of his formula.,The formula is released to the market.,3226,scitech,iteration,"Years later,",The formula is pulled from the market because of scientific inaccuracies.,"Hours later,",The formula is a great market success.
3226-3,The scientist comes up with a new iteration of his formula.,The formula is well received.,3226,scitech,iteration,"Years later,",The formula does not work.,"Months later,",The formula is a great market success.
323-1,A country elects a populist leader.,The populist leader believes in isolationism.,323,politics,none,"Years later,",The populist leader has declared war on every country surrounding it.,"Months later,",The country is isolated and does not engage with the global community.
323-2,A country elects a populist leader.,The populist leader engages in isolationism.,323,politics,none,"Years later,",The populist leader is overthrown.,"Weeks later,",The country is isolated and does not engage with the global community.
323-3,A country elects a populist leader.,The populist leader is installed in place.,323,politics,none,"Years later,",It's discovered the election was fraudulent.,"Hours later,",The country is isolated and does not engage with the global community.
3268-1,The institution introduced a new branch in astrophysics.,Students are interested in this branch of astrophysics.,3268,scitech,astrophysics,"Months later,",On second thought students don't feel this branch is very practical.,"Hours later,",Many have joined the new program.
3268-2,The institution introduced a new branch in astrophysics.,The branch was popular.,3268,scitech,astrophysics,"Months later,",It was discovered that this new branch is not lucrative at all.,"Seconds later,",Many have joined the new program.
3268-3,The institution introduced a new branch in astrophysics.,People are attracted to new areas of academic study.,3268,scitech,astrophysics,"Months later,",A scientist writes an article explaining that the branch isn't anything new.,"Weeks later,",Many have joined the new program.
3282-1,The institution launched a new branch in zoology.,People are interested in new fields of study.,3282,scitech,zoology,"Months later,",They struggle to find lecturers for the courses.,"Weeks later,",Many had enrolled in the program.
3282-2,The institution launched a new branch in zoology.,Many students are interested in zoology.,3282,scitech,zoology,"Months later,",The institution scraps the zoology branch after realizing there's no demand for it.,"Weeks later,",Many had enrolled in the program.
3282-3,The institution launched a new branch in zoology.,People were interested in this new branch.,3282,scitech,zoology,"Months later,",People thought a degree in this new branch would be too expensive.,"Days later,",Many had enrolled in the program.
3304-1,Paul was diagnosed with cancer.,Paul's doctor concludes the cancer is terminal.,3304,health,disease,"Years later,",Paul was able to receive an experimental treatment that successfully eliminated the cancer.,"Months later,",Paul dies from the disease.
3304-2,Paul was diagnosed with cancer.,Paul's cancer is terminal.,3304,health,disease,"Years later,","Paul's cancer is identified as treatable and after chemo, he is in full remission with no signs of return.","Months later,",Paul dies from the disease.
3304-3,Paul was diagnosed with cancer.,Paul's cancer goes untreated.,3304,health,disease,"Years later,",Doctors convince Paul to get chemotherapy.,"Weeks later,",Paul dies from the disease.
3319-1,Sandra eats late night and also eat lots of junk food,Eating junk food leads to obesity.,3319,health,obesity,"Years later,",Sandra changes her diet completely.,"Weeks later,",Sandra suffers obesity and diabetes
3319-2,Sandra eats late night and also eat lots of junk food,Sandra eats unhealthy quantities.,3319,health,obesity,"Years later,",Sandra's doctor tells her to stop eating so much and she listens.,"Weeks later,",Sandra suffers obesity and diabetes
3319-3,Sandra eats late night and also eat lots of junk food,Sandra doesn't improve her health habits.,3319,health,obesity,"Years later,","Sandra's doctor tells her to start eating veggies and to cut the junk food, and she listens.","Weeks later,",Sandra suffers obesity and diabetes
3326-1,Mary sprains her tendon.,Mary does not take the injury seriously and just keeps ignoring the injury.,3326,health,tendon,"Months later,",Mary visits her family doctor for help.,"Days later,",Mary's tendon still hurts when it rains.
3326-2,Mary sprains her tendon.,Mary thinks it is a trivial injury.,3326,health,tendon,"Months later,",Mary takes good care of her injured tendon to ensure its recovery in good progress till healed.,"Hours later,",Mary's tendon still hurts when it rains.
3326-3,Mary sprains her tendon.,Rain can have an effect on pain,3326,health,tendon,"Months later,",Mary follows her doctor's advice to rest her tendon until it fully heals.,"Hours later,",Mary's tendon still hurts when it rains.
333-1,The newly launched fast-food industry hires more professional employees,The company can afford to retain these professional employees.,333,business,none,"Months later,",The company realizes it's going bankrupt by hiring these professional employees.,"Weeks later,",The company attracts more customers because of their quality and reliable services.
333-2,The newly launched fast-food industry hires more professional employees,Customers appreciate the professional employees.,333,business,none,"Months later,",Customers realize they're paying exorbitant prices for the menu items now because it costs that much to offset the professional employees' salaries.,"Weeks later,",The company attracts more customers because of their quality and reliable services.
333-3,The newly launched fast-food industry hires more professional employees,The professional employees help bring class and excellent service to the company.,333,business,none,"Months later,",It gets too expensive to retain these employees.,"Weeks later,",The company attracts more customers because of their quality and reliable services.
3334-1,Ellis has a urinary tract infection.,Ellis sees a doctor for medication.,3334,health,urinary,"Months later,",Ellis has an allergic reaction to the medication.,"Hours later,",Ellis is still taking urology medication.
3334-2,Ellis has a urinary tract infection.,"Medication may be prescribed, but it doesn't always solve the problem quickly.",3334,health,urinary,"Months later,","Ellis is prescribed antibiotics, which work right away.","Weeks later,",Ellis is still taking urology medication.
3334-3,Ellis has a urinary tract infection.,Ellis needs medication.,3334,health,urinary,"Months later,",Ellis takes medication and is cured.,"Weeks later,",Ellis is still taking urology medication.
3357-1,"Liam had terrible stomach aches, but had bad reactions to all of the medicines the doctor tried.",Alternative medicine is a viable option for someone with chronic stomach aches.,3357,health,alternative medicine,"Months later,",Liam has tried alternative medicine but it doesn't help.,"Weeks later,",He found relief with alternative medicine.
3357-2,"Liam had terrible stomach aches, but had bad reactions to all of the medicines the doctor tried.",He tried an alternative medicine.,3357,health,alternative medicine,"Months later,",That medicine worked even worse.,"Days later,",He found relief with alternative medicine.
3357-3,"Liam had terrible stomach aches, but had bad reactions to all of the medicines the doctor tried.",The doctor recommended alternative medicine.,3357,health,alternative medicine,"Months later,",This caused even more pain for Liam than the regular medicine.,"Days later,",He found relief with alternative medicine.
3369-1,The doctor gave Nancy a prescription to cure her illness.,Nancy takes the prescription as prescribed.,3369,health,prescription,"Months later,",Nancy never takes the medication prescribed.,"Weeks later,",Nancy is completely healed and healthy.
3369-2,The doctor gave Nancy a prescription to cure her illness.,Prescription medications can help cure people of illness.,3369,health,prescription,"Months later,","Nancy discovered the prescription wasn't covered by her insurance, so she couldn't afford to have it filled.","Days later,",Nancy is completely healed and healthy.
3369-3,The doctor gave Nancy a prescription to cure her illness.,Nancy responds well to the prescription.,3369,health,prescription,"Months later,",Nancy has horrible side effects from the prescription.,"Hours later,",Nancy is completely healed and healthy.
3382-1,Folks in certain countries were quarantined during COVID for months.,A lot of people got depressed while cooped up inside for so long.,3382,health,quarantine,"Years later,",These people got effective teletherapy.,"Weeks later,",Many subsequent suicides were linked to the COVID quarantines.
3382-2,Folks in certain countries were quarantined during COVID for months.,People felt depressed while cooped up.,3382,health,quarantine,"Years later,",The quarantine was lifted.,"Days later,",Many subsequent suicides were linked to the COVID quarantines.
3382-3,Folks in certain countries were quarantined during COVID for months.,People felt cooped up and depressed.,3382,health,quarantine,"Years later,",COVID restrictions were lifted.,"Days later,",Many subsequent suicides were linked to the COVID quarantines.
3406-1,Rita got into medical school.,A medical school degree is necessary to become a surgeon.,3406,work,occupation,"Years later,",Rita decided she wanted to become a public health worker.,"Months later,",Rita is now a surgeon.
3406-2,Rita got into medical school.,Rita passes all her medical school exams.,3406,work,occupation,"Years later,",Rita is kicked out of school for lying on her med school application.,"Months later,",Rita is now a surgeon.
3406-3,Rita got into medical school.,Rita studies hard.,3406,work,occupation,"Years later,",Rita fails her classes and drops out of school.,"Months later,",Rita is now a surgeon.
3409-1,An employee who's responsibility it was to deal with clients leaves the company.,A lot of clients only worked with the company because they enjoyed working with this employee.,3409,work,responsibility,"Months later,",A lot of clients realize they get along even better with the replacement for this departed employee.,"Weeks later,",The company loses several clients.
3409-2,An employee who's responsibility it was to deal with clients leaves the company.,Employee customer relations is vital.,3409,work,responsibility,"Months later,",The employee is rehired to bring back customers.,"Days later,",The company loses several clients.
3409-3,An employee who's responsibility it was to deal with clients leaves the company.,Clients generally want to deal with the same person every time they do business with a company.,3409,work,responsibility,"Months later,",Clients are happier with the employee's replacement.,"Weeks later,",The company loses several clients.
3412-1,Jane used a new template at work.,Using a template should reduce the overall amount of work for the person using it.,3412,work,enterprise,"Months later,",Jane discovers that the new template is confusing and doesn't help her at all.,"Minutes later,",Jane was able to work much faster.
3412-2,Jane used a new template at work.,Jane's new template was more efficient.,3412,work,enterprise,"Months later,",Jane accidentally deleted the template from her computer.,"Hours later,",Jane was able to work much faster.
3412-3,Jane used a new template at work.,Templates allow for work to be finished faster.,3412,work,enterprise,"Months later,",Jane gives up on using the template because it just makes things more complicated.,"Hours later,",Jane was able to work much faster.
3421-2,Sandra works 5 days a week with her employer and uses one day to take care of her personal business venture,Sam is fully committed to her work.,3421,work,venture,"Years later,",Sam feels burnt out from work and decides to resign.,"Days later,",Sandra's personal business venture become prosperous and Sandra also got promotion at work
3421-3,Sandra works 5 days a week with her employer and uses one day to take care of her personal business venture,Sandra is fully dedicated to her employer and business venture.,3421,work,venture,"Years later,",Sandra is burned out by juggling both obligations.,"Weeks later,",Sandra's personal business venture become prosperous and Sandra also got promotion at work
343-1,Being late for work everyday.,Employers expect workers to be on time to work.,343,work,none,"Months later,",No one has noticed that the person is always late.,"Weeks later,",Fired from the job.
343-2,Being late for work everyday.,Late for work is considered as bad ethic at workplace.,343,work,none,"Months later,",It gets the jobs done quickly and there have been outstanding performance consistently.,"Weeks later,",Fired from the job.
343-3,Being late for work everyday.,The lateness is not justified with valid reasons.,343,work,none,"Months later,",Every count of the lateness is justified with valid reasons and excused.,"Hours later,",Fired from the job.
3430-1,Susan's job makes her take an aptitude test.,Sandra takes the test.,3430,work,aptitude,"Months later,",The software for the aptitude test glitches and wipes out her test results.,"Minutes later,",They find out her skill set is better soon to marketing and she gets a promotion.
3430-2,Susan's job makes her take an aptitude test.,Susan excels at the test.,3430,work,aptitude,"Months later,",Susan gets sick and can’t take the test.,"Days later,",They find out her skill set is better soon to marketing and she gets a promotion.
3430-3,Susan's job makes her take an aptitude test.,Susan takes the test.,3430,work,aptitude,"Months later,",Susan gives up on the test due to a headache.,"Minutes later,",They find out her skill set is better soon to marketing and she gets a promotion.
3431-1,Johnny worked really hard to develop expertise at every piece of his job.,Someone who works hard will receive the recognition they deserve.,3431,work,expertise,"Months later,",He realizes that no one cares how hard he works and starts slacking off.,"Weeks later,",He was promoted to manager.
3431-2,Johnny worked really hard to develop expertise at every piece of his job.,Johnny gains the skills he needs to learn the job well.,3431,work,expertise,"Months later,",Johnny is fired for sexually assaulting a coworker.,"Weeks later,",He was promoted to manager.
3431-3,Johnny worked really hard to develop expertise at every piece of his job.,People recognized Johnny's competence.,3431,work,expertise,"Months later,",Even more competent people were hired into the comapny.,"Weeks later,",He was promoted to manager.
3434-1,Maria works with great efficiency.,Maria's boss notices that she's a great worker.,3434,work,efficiency,"Months later,",Maria's boss quits for another job.,"Days later,",Maria earns a promotion.
3434-2,Maria works with great efficiency.,Maria's work is recognized by the boss.,3434,work,efficiency,"Months later,",Maria's performance is not consistent and is considered unreliable by the boss.,"Weeks later,",Maria earns a promotion.
3434-3,Maria works with great efficiency.,Efficiency in the workplace is necessary for success.,3434,work,efficiency,"Months later,",Maria gets bored with her job and her work gets sloppy.,"Weeks later,",Maria earns a promotion.
3437-1,Trey always puts extra hours to go above and beyond at work.,His boss notices his effort.,3437,work,performance,"Months later,",His boss wants to sabotage his effort.,"Hours later,","During his annual performance evaluation, Trey is rewarded with a raise"
3437-2,Trey always puts extra hours to go above and beyond at work.,Trey has a good relationship with his boss.,3437,work,performance,"Months later,","Trey's boss discovers that Trey had an affair with his daughter Soeurette, accidentally getting her pregnant.","Days later,","During his annual performance evaluation, Trey is rewarded with a raise"
3437-3,Trey always puts extra hours to go above and beyond at work.,Trey's boss notices these efforts.,3437,work,performance,"Months later,",Trey's boss forgets about the efforts.,"Hours later,","During his annual performance evaluation, Trey is rewarded with a raise"
345-1,John joins the football team in high school because he loves sports.,John plays very well on the football team.,345,politics,none,"Years later,",John quits football after a career ending injury.,"Months later,",John is offered a scholarship to a highly prestigious college that focuses on football.
345-2,John joins the football team in high school because he loves sports.,John excels at his sport.,345,politics,none,"Years later,",John comes down with two broken bones that sideline him permanently.,"Months later,",John is offered a scholarship to a highly prestigious college that focuses on football.
345-3,John joins the football team in high school because he loves sports.,Those who love sports will be good at playing them.,345,politics,none,"Years later,",John has a reputation as the worst player on the team.,"Months later,",John is offered a scholarship to a highly prestigious college that focuses on football.
3450-1,Danielle usually snuck on her phone throughout the day instead of doing her work like she was supposed to.,Danielle does not complete the project.,3450,work,accountability,"Months later,",Danielle decides not to bring her cellphone to work anymore so she can focus on work.,"Days later,",Danielle’s boss fired her for not completing tasks in a timely manner.
3450-2,Danielle usually snuck on her phone throughout the day instead of doing her work like she was supposed to.,Danielle falls behind in her work.,3450,work,accountability,"Months later,",Danielle gets praised by her boss.,"Weeks later,",Danielle’s boss fired her for not completing tasks in a timely manner.
